index,slide_id,project
176,TCGA-DJ-A3V0-01Z-00-DX1,TCGA-THCA
177,TCGA-DJ-A2PU-01Z-00-DX1,TCGA-THCA
178,TCGA-DJ-A2Q1-01Z-00-DX1,TCGA-THCA
179,TCGA-J8-A3NZ-01Z-00-DX1,TCGA-THCA
180,TCGA-EL-A3ZM-01Z-00-DX1,TCGA-THCA
181,TCGA-DJ-A3VG-01Z-00-DX1,TCGA-THCA
182,TCGA-FY-A3NN-01Z-00-DX1,TCGA-THCA
183,TCGA-IM-A4EB-01Z-00-DX2,TCGA-THCA
184,TCGA-E8-A417-01Z-00-DX1,TCGA-THCA
185,TCGA-DJ-A2PT-01Z-00-DX1,TCGA-THCA
186,TCGA-EL-A3CY-01Z-00-DX1,TCGA-THCA
187,TCGA-EL-A4JZ-01Z-00-DX1,TCGA-THCA
188,TCGA-E3-A3E5-01Z-00-DX1,TCGA-THCA
189,TCGA-KS-A4IC-01Z-00-DX1,TCGA-THCA
190,TCGA-EL-A4JV-01Z-00-DX1,TCGA-THCA
191,TCGA-L6-A4ET-01Z-00-DX1,TCGA-THCA
192,TCGA-DE-A69J-01Z-00-DX1,TCGA-THCA
193,TCGA-ET-A25R-01Z-00-DX1,TCGA-THCA
194,TCGA-FY-A3BL-01Z-00-DX1,TCGA-THCA
195,TCGA-EL-A4JW-01Z-00-DX1,TCGA-THCA
196,TCGA-DJ-A4V0-01Z-00-DX1,TCGA-THCA
197,TCGA-J8-A3O0-01Z-00-DX1,TCGA-THCA
198,TCGA-DJ-A3UQ-01Z-00-DX1,TCGA-THCA
199,TCGA-E8-A433-01Z-00-DX1,TCGA-THCA
200,TCGA-CE-A27D-01Z-00-DX1,TCGA-THCA
201,TCGA-E8-A242-01Z-00-DX1,TCGA-THCA
202,TCGA-J8-A3O1-01Z-00-DX1,TCGA-THCA
203,TCGA-BJ-A45I-01Z-00-DX1,TCGA-THCA
204,TCGA-DJ-A4UR-01Z-00-DX1,TCGA-THCA
205,TCGA-E8-A44M-01Z-00-DX1,TCGA-THCA
206,TCGA-E8-A414-01Z-00-DX1,TCGA-THCA
207,TCGA-MK-A84Z-01Z-00-DX1,TCGA-THCA
208,TCGA-EL-A4K4-01Z-00-DX1,TCGA-THCA
209,TCGA-DJ-A1QO-01Z-00-DX1,TCGA-THCA
210,TCGA-ET-A25O-01Z-00-DX1,TCGA-THCA
211,TCGA-EM-A3FR-01Z-00-DX1,TCGA-THCA
212,TCGA-E3-A3E2-01Z-00-DX1,TCGA-THCA
213,TCGA-EM-A4FH-01Z-00-DX1,TCGA-THCA
214,TCGA-EM-A3FL-01Z-00-DX1,TCGA-THCA
215,TCGA-FK-A3SG-01Z-00-DX1,TCGA-THCA
216,TCGA-ET-A39L-01Z-00-DX1,TCGA-THCA
217,TCGA-EM-A3OB-01Z-00-DX1,TCGA-THCA
218,TCGA-BJ-A0Z3-01Z-00-DX1,TCGA-THCA
219,TCGA-EM-A1YE-01Z-00-DX1,TCGA-THCA
220,TCGA-EM-A2P0-01Z-00-DX2,TCGA-THCA
221,TCGA-EL-A3CP-01Z-00-DX1,TCGA-THCA
222,TCGA-EL-A3T8-01Z-00-DX1,TCGA-THCA
223,TCGA-EM-A22P-01Z-00-DX1,TCGA-THCA
224,TCGA-FY-A3WA-01Z-00-DX1,TCGA-THCA
225,TCGA-BJ-A45F-01Z-00-DX1,TCGA-THCA
226,TCGA-H2-A2K9-01Z-00-DX1,TCGA-THCA
227,TCGA-DJ-A3UN-01Z-00-DX1,TCGA-THCA
228,TCGA-IM-A3U2-01Z-00-DX1,TCGA-THCA
229,TCGA-DJ-A13W-01Z-00-DX1,TCGA-THCA
230,TCGA-DJ-A3V5-01Z-00-DX1,TCGA-THCA
231,TCGA-ET-A39T-01Z-00-DX1,TCGA-THCA
232,TCGA-MK-A4N6-01Z-00-DX1,TCGA-THCA
233,TCGA-EM-A3AR-01Z-00-DX1,TCGA-THCA
234,TCGA-E8-A419-01Z-00-DX1,TCGA-THCA
235,TCGA-EL-A3CL-01Z-00-DX1,TCGA-THCA
236,TCGA-FY-A76V-01Z-00-DX1,TCGA-THCA
237,TCGA-EM-A3SY-01Z-00-DX1,TCGA-THCA
238,TCGA-EL-A3CM-01Z-00-DX1,TCGA-THCA
239,TCGA-DE-A4MA-01Z-00-DX1,TCGA-THCA
240,TCGA-DJ-A13O-01Z-00-DX1,TCGA-THCA
241,TCGA-E8-A437-01Z-00-DX1,TCGA-THCA
242,TCGA-DE-A2OL-01Z-00-DX1,TCGA-THCA
243,TCGA-DO-A2HM-01Z-00-DX1,TCGA-THCA
244,TCGA-ET-A2MX-01Z-00-DX1,TCGA-THCA
245,TCGA-EM-A2CJ-01Z-00-DX1,TCGA-THCA
246,TCGA-EL-A3ZP-01Z-00-DX1,TCGA-THCA
247,TCGA-L6-A4EQ-01Z-00-DX1,TCGA-THCA
248,TCGA-EM-A4FM-01Z-00-DX1,TCGA-THCA
249,TCGA-BJ-A3EZ-01Z-00-DX1,TCGA-THCA
250,TCGA-DJ-A2QC-01Z-00-DX1,TCGA-THCA
251,TCGA-EM-A22M-01Z-00-DX1,TCGA-THCA
252,TCGA-DE-A69K-01Z-00-DX1,TCGA-THCA
253,TCGA-EM-A3O9-01Z-00-DX1,TCGA-THCA
254,TCGA-EL-A3GW-01Z-00-DX1,TCGA-THCA
255,TCGA-DJ-A3UM-01Z-00-DX1,TCGA-THCA
256,TCGA-EL-A3CN-01Z-00-DX1,TCGA-THCA
257,TCGA-DJ-A2Q5-01Z-00-DX1,TCGA-THCA
258,TCGA-DJ-A1QE-01Z-00-DX1,TCGA-THCA
259,TCGA-ET-A3DR-01Z-00-DX1,TCGA-THCA
260,TCGA-EM-A22L-01Z-00-DX1,TCGA-THCA
261,TCGA-DE-A4M8-01Z-00-DX1,TCGA-THCA
262,TCGA-ET-A39R-01Z-00-DX1,TCGA-THCA
263,TCGA-EL-A3CX-01Z-00-DX1,TCGA-THCA
264,TCGA-EL-A3H8-01Z-00-DX1,TCGA-THCA
265,TCGA-DJ-A3VM-01Z-00-DX1,TCGA-THCA
266,TCGA-DJ-A1QD-01Z-00-DX1,TCGA-THCA
267,TCGA-EL-A4K2-01Z-00-DX1,TCGA-THCA
268,TCGA-E8-A432-01Z-00-DX1,TCGA-THCA
269,TCGA-ET-A25G-01Z-00-DX1,TCGA-THCA
270,TCGA-FY-A40L-01Z-00-DX1,TCGA-THCA
271,TCGA-EL-A3GY-01Z-00-DX1,TCGA-THCA
272,TCGA-EM-A3AP-01Z-00-DX1,TCGA-THCA
273,TCGA-DJ-A2PW-01Z-00-DX1,TCGA-THCA
274,TCGA-EM-A3AN-01Z-00-DX1,TCGA-THCA
275,TCGA-EM-A3SU-01Z-00-DX2,TCGA-THCA
276,TCGA-EL-A3TB-01Z-00-DX1,TCGA-THCA
277,TCGA-FE-A23A-01Z-00-DX1,TCGA-THCA
278,TCGA-EM-A3AL-01Z-00-DX1,TCGA-THCA
279,TCGA-DJ-A1QI-01Z-00-DX1,TCGA-THCA
280,TCGA-EM-A22J-01Z-00-DX1,TCGA-THCA
281,TCGA-DJ-A1QN-01Z-00-DX1,TCGA-THCA
282,TCGA-EL-A3D1-01Z-00-DX1,TCGA-THCA
283,TCGA-EM-A2CQ-01Z-00-DX1,TCGA-THCA
284,TCGA-EL-A3GS-01Z-00-DX1,TCGA-THCA
285,TCGA-EL-A3MZ-01Z-00-DX1,TCGA-THCA
286,TCGA-ET-A40Q-01Z-00-DX1,TCGA-THCA
287,TCGA-DJ-A1QM-01Z-00-DX1,TCGA-THCA
288,TCGA-EM-A4FR-01Z-00-DX1,TCGA-THCA
289,TCGA-FY-A3ON-01Z-00-DX1,TCGA-THCA
290,TCGA-FK-A3S3-01Z-00-DX1,TCGA-THCA
291,TCGA-DJ-A3V4-01Z-00-DX1,TCGA-THCA
292,TCGA-4C-A93U-01Z-00-DX2,TCGA-THCA
293,TCGA-EM-A3FN-01Z-00-DX1,TCGA-THCA
294,TCGA-ET-A40R-01Z-00-DX1,TCGA-THCA
295,TCGA-EL-A3D0-01Z-00-DX1,TCGA-THCA
296,TCGA-FE-A231-01Z-00-DX1,TCGA-THCA
297,TCGA-BJ-A18Y-01Z-00-DX1,TCGA-THCA
298,TCGA-BJ-A3PR-01Z-00-DX1,TCGA-THCA
299,TCGA-BJ-A2N7-01Z-00-DX1,TCGA-THCA
300,TCGA-EL-A3ZR-01Z-00-DX1,TCGA-THCA
301,TCGA-ET-A3BT-01Z-00-DX1,TCGA-THCA
302,TCGA-BJ-A0ZE-01Z-00-DX1,TCGA-THCA
303,TCGA-BJ-A0ZC-01Z-00-DX1,TCGA-THCA
304,TCGA-MK-A4N7-01Z-00-DX1,TCGA-THCA
305,TCGA-EL-A3ZT-01Z-00-DX1,TCGA-THCA
306,TCGA-FE-A238-01Z-00-DX1,TCGA-THCA
307,TCGA-FY-A3R8-01Z-00-DX1,TCGA-THCA
308,TCGA-DJ-A1QH-01Z-00-DX1,TCGA-THCA
309,TCGA-EM-A22Q-01Z-00-DX1,TCGA-THCA
310,TCGA-FK-A3SD-01Z-00-DX1,TCGA-THCA
311,TCGA-EM-A2P0-01Z-00-DX1,TCGA-THCA
312,TCGA-EM-A1CW-01Z-00-DX1,TCGA-THCA
313,TCGA-ET-A3DT-01Z-00-DX1,TCGA-THCA
314,TCGA-DJ-A3VJ-01Z-00-DX1,TCGA-THCA
315,TCGA-FY-A40N-01Z-00-DX1,TCGA-THCA
316,TCGA-EM-A2CL-01Z-00-DX1,TCGA-THCA
317,TCGA-KS-A41F-01Z-00-DX1,TCGA-THCA
318,TCGA-FE-A237-01Z-00-DX1,TCGA-THCA
319,TCGA-DJ-A3UY-01Z-00-DX1,TCGA-THCA
320,TCGA-EL-A3CS-01Z-00-DX1,TCGA-THCA
321,TCGA-BJ-A0YZ-01Z-00-DX1,TCGA-THCA
322,TCGA-BJ-A45J-01Z-00-DX1,TCGA-THCA
323,TCGA-ET-A25K-01Z-00-DX1,TCGA-THCA
324,TCGA-FE-A3PA-01Z-00-DX1,TCGA-THCA
325,TCGA-ET-A3BX-01Z-00-DX1,TCGA-THCA
326,TCGA-EM-A1YB-01Z-00-DX1,TCGA-THCA
327,TCGA-FE-A3PC-01Z-00-DX1,TCGA-THCA
328,TCGA-FE-A230-01Z-00-DX1,TCGA-THCA
329,TCGA-EM-A3FK-01Z-00-DX1,TCGA-THCA
330,TCGA-DJ-A3UU-01Z-00-DX1,TCGA-THCA
331,TCGA-EM-A3FO-01Z-00-DX1,TCGA-THCA
332,TCGA-EL-A3T9-01Z-00-DX1,TCGA-THCA
333,TCGA-DE-A0Y3-01Z-00-DX1,TCGA-THCA
334,TCGA-EL-A3T7-01Z-00-DX1,TCGA-THCA
335,TCGA-DJ-A2PQ-01Z-00-DX1,TCGA-THCA
336,TCGA-IM-A420-01Z-00-DX1,TCGA-THCA
337,TCGA-IM-A41Y-01Z-00-DX1,TCGA-THCA
338,TCGA-BJ-A192-01Z-00-DX1,TCGA-THCA
339,TCGA-BJ-A45G-01Z-00-DX1,TCGA-THCA
340,TCGA-EL-A3T3-01Z-00-DX1,TCGA-THCA
341,TCGA-EL-A3ZH-01Z-00-DX1,TCGA-THCA
342,TCGA-KS-A4I1-01Z-00-DX1,TCGA-THCA
343,TCGA-DE-A3KN-01Z-00-DX1,TCGA-THCA
344,TCGA-DJ-A4UT-01Z-00-DX1,TCGA-THCA
345,TCGA-EL-A4JX-01Z-00-DX1,TCGA-THCA
346,TCGA-EM-A3OA-01Z-00-DX1,TCGA-THCA
347,TCGA-EL-A3H1-01Z-00-DX1,TCGA-THCA
348,TCGA-DJ-A3UW-01Z-00-DX1,TCGA-THCA
349,TCGA-ET-A2N4-01Z-00-DX1,TCGA-THCA
350,TCGA-CE-A482-01Z-00-DX1,TCGA-THCA
351,TCGA-KS-A4I9-01Z-00-DX1,TCGA-THCA
352,TCGA-DJ-A2QA-01Z-00-DX1,TCGA-THCA
353,TCGA-KS-A4ID-01Z-00-DX1,TCGA-THCA
354,TCGA-FE-A236-01Z-00-DX1,TCGA-THCA
355,TCGA-DJ-A3VA-01Z-00-DX1,TCGA-THCA
356,TCGA-EM-A2OV-01Z-00-DX1,TCGA-THCA
357,TCGA-EM-A2P1-01Z-00-DX1,TCGA-THCA
358,TCGA-EM-A2CO-01Z-00-DX1,TCGA-THCA
359,TCGA-KS-A4I3-01Z-00-DX1,TCGA-THCA
360,TCGA-EL-A3GP-01Z-00-DX1,TCGA-THCA
361,TCGA-E8-A436-01Z-00-DX1,TCGA-THCA
362,TCGA-BJ-A0Z0-01Z-00-DX1,TCGA-THCA
363,TCGA-DE-A4M9-01Z-00-DX1,TCGA-THCA
364,TCGA-DJ-A3UT-01Z-00-DX1,TCGA-THCA
365,TCGA-EM-A1YC-01Z-00-DX1,TCGA-THCA
366,TCGA-J8-A3YF-01Z-00-DX1,TCGA-THCA
367,TCGA-DJ-A13T-01Z-00-DX1,TCGA-THCA
368,TCGA-DJ-A13M-01Z-00-DX1,TCGA-THCA
369,TCGA-IM-A3U3-01Z-00-DX1,TCGA-THCA
370,TCGA-GE-A2C6-01Z-00-DX1,TCGA-THCA
371,TCGA-EM-A2CS-01Z-00-DX1,TCGA-THCA
372,TCGA-E8-A2EA-01Z-00-DX1,TCGA-THCA
373,TCGA-FY-A3I5-01Z-00-DX1,TCGA-THCA
374,TCGA-FY-A3W9-01Z-00-DX1,TCGA-THCA
375,TCGA-ET-A2MZ-01Z-00-DX1,TCGA-THCA
376,TCGA-DJ-A1QF-01Z-00-DX1,TCGA-THCA
377,TCGA-EM-A3SZ-01Z-00-DX1,TCGA-THCA
378,TCGA-ET-A39P-01Z-00-DX1,TCGA-THCA
379,TCGA-ET-A3DW-01Z-00-DX1,TCGA-THCA
380,TCGA-ET-A39K-01Z-00-DX1,TCGA-THCA
381,TCGA-BJ-A45E-01Z-00-DX1,TCGA-THCA
382,TCGA-J8-A3YG-01Z-00-DX1,TCGA-THCA
383,TCGA-DJ-A4UP-01Z-00-DX1,TCGA-THCA
384,TCGA-DJ-A13U-01Z-00-DX1,TCGA-THCA
385,TCGA-FE-A234-01Z-00-DX1,TCGA-THCA
386,TCGA-ET-A25P-01Z-00-DX1,TCGA-THCA
387,TCGA-EM-A2OW-01Z-00-DX1,TCGA-THCA
388,TCGA-FY-A3NM-01Z-00-DX1,TCGA-THCA
389,TCGA-FY-A40K-01Z-00-DX1,TCGA-THCA
390,TCGA-DE-A4MD-01Z-00-DX2,TCGA-THCA
391,TCGA-IM-A41Z-01Z-00-DX1,TCGA-THCA
392,TCGA-BJ-A4O9-01Z-00-DX1,TCGA-THCA
393,TCGA-DJ-A3VF-01Z-00-DX1,TCGA-THCA
394,TCGA-ET-A2N5-01Z-00-DX1,TCGA-THCA
395,TCGA-EM-A4FU-01Z-00-DX1,TCGA-THCA
396,TCGA-FY-A4B0-01Z-00-DX1,TCGA-THCA
397,TCGA-E8-A413-01Z-00-DX1,TCGA-THCA
398,TCGA-FY-A40M-01Z-00-DX1,TCGA-THCA
399,TCGA-FE-A233-01Z-00-DX1,TCGA-THCA
400,TCGA-KS-A4I5-01Z-00-DX1,TCGA-THCA
401,TCGA-FE-A239-01Z-00-DX1,TCGA-THCA
402,TCGA-EL-A4KI-01Z-00-DX1,TCGA-THCA
403,TCGA-EM-A3AQ-01Z-00-DX1,TCGA-THCA
404,TCGA-DJ-A13P-01Z-00-DX1,TCGA-THCA
405,TCGA-FY-A3R9-01Z-00-DX1,TCGA-THCA
406,TCGA-J8-A3YE-01Z-00-DX1,TCGA-THCA
407,TCGA-DJ-A3VI-01Z-00-DX1,TCGA-THCA
408,TCGA-EM-A3O7-01Z-00-DX1,TCGA-THCA
