index,slide_id,project,fold
3592,TCGA-G2-A2EC-01Z-00-DX3,TCGA-BLCA,9
3527,TCGA-FD-A3B3-01Z-00-DX1,TCGA-BLCA,0
3331,TCGA-G2-AA3B-01Z-00-DX2,TCGA-BLCA,1
3498,TCGA-FJ-A871-01Z-00-DX2,TCGA-BLCA,2
3497,TCGA-XF-A8HF-01Z-00-DX1,TCGA-BLCA,3
3328,TCGA-YC-A9TC-01Z-00-DX2,TCGA-BLCA,4
3309,TCGA-GU-AATQ-01Z-00-DX1,TCGA-BLCA,5
3718,TCGA-2F-A9KW-01Z-00-DX1,TCGA-BLCA,6
3410,TCGA-FD-A5BX-01Z-00-DX1,TCGA-BLCA,7
3536,TCGA-ZF-A9RF-01Z-00-DX1,TCGA-BLCA,8
3729,TCGA-GV-A3QH-01Z-00-DX1,TCGA-BLCA,9
3420,TCGA-CF-A5UA-01Z-00-DX1,TCGA-BLCA,0
3416,TCGA-BT-A2LB-01Z-00-DX1,TCGA-BLCA,1
3547,TCGA-HQ-A5NE-01Z-00-DX1,TCGA-BLCA,2
3450,TCGA-GC-A3WC-01Z-00-DX1,TCGA-BLCA,3
3727,TCGA-G2-A2ES-01Z-00-DX5,TCGA-BLCA,4
3697,TCGA-UY-A9PA-01Z-00-DX1,TCGA-BLCA,5
3651,TCGA-ZF-A9RM-01Z-00-DX1,TCGA-BLCA,6
3459,TCGA-E7-A3X6-01Z-00-DX1,TCGA-BLCA,7
3477,TCGA-GU-A42R-01Z-00-DX1,TCGA-BLCA,8
3531,TCGA-BT-A42C-01Z-00-DX1,TCGA-BLCA,9
3710,TCGA-BL-A5ZZ-01Z-00-DX1,TCGA-BLCA,0
3443,TCGA-BT-A3PH-01Z-00-DX1,TCGA-BLCA,1
3637,TCGA-XF-AAN2-01Z-00-DX1,TCGA-BLCA,2
3614,TCGA-2F-A9KT-01Z-00-DX2,TCGA-BLCA,3
3475,TCGA-CU-A3YL-01Z-00-DX1,TCGA-BLCA,4
3540,TCGA-GV-A3QF-01Z-00-DX1,TCGA-BLCA,5
3411,TCGA-PQ-A6FN-01Z-00-DX1,TCGA-BLCA,6
3506,TCGA-FD-A62N-01Z-00-DX1,TCGA-BLCA,7
3447,TCGA-FD-A6TC-01Z-00-DX1,TCGA-BLCA,8
3625,TCGA-K4-A83P-01Z-00-DX1,TCGA-BLCA,9
3454,TCGA-S5-AA26-01Z-00-DX1,TCGA-BLCA,0
3638,TCGA-LC-A66R-01Z-00-DX1,TCGA-BLCA,1
3586,TCGA-CF-A3MF-01Z-00-DX1,TCGA-BLCA,2
3385,TCGA-FD-A3SQ-01Z-00-DX1,TCGA-BLCA,3
3679,TCGA-DK-A1AD-01Z-00-DX1,TCGA-BLCA,4
3467,TCGA-E7-A4IJ-01Z-00-DX1,TCGA-BLCA,5
3634,TCGA-G2-A2EO-01Z-00-DX4,TCGA-BLCA,6
3662,TCGA-BT-A20U-01Z-00-DX1,TCGA-BLCA,7
3376,TCGA-XF-A9SJ-01Z-00-DX1,TCGA-BLCA,8
3533,TCGA-G2-A2EC-01Z-00-DX6,TCGA-BLCA,9
3719,TCGA-GC-A3RB-01Z-00-DX1,TCGA-BLCA,0
3620,TCGA-G2-A2EO-01Z-00-DX3,TCGA-BLCA,1
3421,TCGA-E7-A4XJ-01Z-00-DX1,TCGA-BLCA,2
3557,TCGA-DK-A2I2-01Z-00-DX1,TCGA-BLCA,3
3573,TCGA-E7-A97Q-01Z-00-DX1,TCGA-BLCA,4
3512,TCGA-4Z-AA84-01Z-00-DX1,TCGA-BLCA,5
3626,TCGA-G2-A2EO-01Z-00-DX8,TCGA-BLCA,6
3510,TCGA-G2-AA3F-01Z-00-DX4,TCGA-BLCA,7
3513,TCGA-ZF-AA4R-01Z-00-DX1,TCGA-BLCA,8
3495,TCGA-E7-A3Y1-01Z-00-DX1,TCGA-BLCA,9
3654,TCGA-UY-A78M-01Z-00-DX1,TCGA-BLCA,0
3702,TCGA-DK-A2HX-01Z-00-DX1,TCGA-BLCA,1
3338,TCGA-G2-AA3B-01Z-00-DX4,TCGA-BLCA,2
3441,TCGA-2F-A9KW-01Z-00-DX2,TCGA-BLCA,3
3636,TCGA-FD-A62P-01Z-00-DX1,TCGA-BLCA,4
3663,TCGA-K4-A4AB-01Z-00-DX1,TCGA-BLCA,5
3580,TCGA-XF-AAMR-01Z-00-DX1,TCGA-BLCA,6
3685,TCGA-ZF-AA5N-01Z-00-DX1,TCGA-BLCA,7
3361,TCGA-XF-AAN4-01Z-00-DX1,TCGA-BLCA,8
3413,TCGA-E7-A7PW-01Z-00-DX1,TCGA-BLCA,9
3555,TCGA-G2-A3IE-01Z-00-DX2,TCGA-BLCA,0
3655,TCGA-ZF-A9RL-01Z-00-DX1,TCGA-BLCA,1
3308,TCGA-BT-A3PK-01Z-00-DX1,TCGA-BLCA,2
3747,TCGA-4Z-AA7Y-01Z-00-DX1,TCGA-BLCA,3
3618,TCGA-XF-A9SZ-01Z-00-DX1,TCGA-BLCA,4
3460,TCGA-4Z-AA7S-01Z-00-DX1,TCGA-BLCA,5
3452,TCGA-G2-AA3D-01Z-00-DX1,TCGA-BLCA,6
3479,TCGA-XF-AAN5-01Z-00-DX1,TCGA-BLCA,7
3486,TCGA-XF-A9T4-01Z-00-DX1,TCGA-BLCA,8
3312,TCGA-G2-A2ES-01Z-00-DX7,TCGA-BLCA,9
3552,TCGA-XF-AAN1-01Z-00-DX1,TCGA-BLCA,0
3405,TCGA-H4-A2HQ-01Z-00-DX1,TCGA-BLCA,1
3383,TCGA-FD-A3NA-01Z-00-DX1,TCGA-BLCA,2
3340,TCGA-GD-A3OP-01Z-00-DX1,TCGA-BLCA,3
3588,TCGA-CF-A27C-01Z-00-DX1,TCGA-BLCA,4
3469,TCGA-FD-A3N6-01Z-00-DX1,TCGA-BLCA,5
3731,TCGA-FD-A5C1-01Z-00-DX1,TCGA-BLCA,6
3567,TCGA-FD-A5C0-01Z-00-DX1,TCGA-BLCA,7
3500,TCGA-GC-A4ZW-01Z-00-DX1,TCGA-BLCA,8
3678,TCGA-E7-A7DV-01Z-00-DX1,TCGA-BLCA,9
3546,TCGA-K4-A6MB-01Z-00-DX1,TCGA-BLCA,0
3745,TCGA-ZF-AA4W-01Z-00-DX1,TCGA-BLCA,1
3496,TCGA-GV-A3QG-01Z-00-DX1,TCGA-BLCA,2
3391,TCGA-DK-A1AE-01Z-00-DX1,TCGA-BLCA,3
3551,TCGA-XF-AAMH-01Z-00-DX1,TCGA-BLCA,4
3465,TCGA-4Z-AA89-01Z-00-DX1,TCGA-BLCA,5
3524,TCGA-BT-A20T-01Z-00-DX1,TCGA-BLCA,6
3449,TCGA-CU-A72E-01Z-00-DX1,TCGA-BLCA,7
3304,TCGA-XF-A9T8-01Z-00-DX1,TCGA-BLCA,8
3394,TCGA-FJ-A871-01Z-00-DX1,TCGA-BLCA,9
3669,TCGA-GV-A40G-01Z-00-DX1,TCGA-BLCA,0
3371,TCGA-XF-AAME-01Z-00-DX1,TCGA-BLCA,1
3653,TCGA-5N-A9KI-01Z-00-DX1,TCGA-BLCA,2
3425,TCGA-G2-A2ES-01Z-00-DX2,TCGA-BLCA,3
3640,TCGA-XF-AAN0-01Z-00-DX1,TCGA-BLCA,4
3398,TCGA-BL-A0C8-01Z-00-DX1,TCGA-BLCA,5
3445,TCGA-ZF-AA4T-01Z-00-DX1,TCGA-BLCA,6
3649,TCGA-DK-A3WX-01Z-00-DX1,TCGA-BLCA,7
3709,TCGA-DK-A1A7-01Z-00-DX1,TCGA-BLCA,8
3601,TCGA-HQ-A5ND-01Z-00-DX1,TCGA-BLCA,9
3399,TCGA-ZF-A9R0-01Z-00-DX1,TCGA-BLCA,0
3582,TCGA-DK-A6B1-01Z-00-DX1,TCGA-BLCA,1
3370,TCGA-FJ-A3ZF-01Z-00-DX1,TCGA-BLCA,2
3325,TCGA-BL-A5ZZ-01Z-00-DX2,TCGA-BLCA,3
3339,TCGA-E7-A8O8-01Z-00-DX1,TCGA-BLCA,4
3446,TCGA-CU-A3KJ-01Z-00-DX1,TCGA-BLCA,5
3424,TCGA-ZF-AA53-01Z-00-DX1,TCGA-BLCA,6
3485,TCGA-ZF-A9R7-01Z-00-DX1,TCGA-BLCA,7
3504,TCGA-YC-A89H-01Z-00-DX1,TCGA-BLCA,8
3484,TCGA-YC-A9TC-01Z-00-DX1,TCGA-BLCA,9
3369,TCGA-G2-A3VY-01Z-00-DX1,TCGA-BLCA,0
3736,TCGA-FD-A6TH-01Z-00-DX1,TCGA-BLCA,1
3579,TCGA-DK-A1AG-01Z-00-DX1,TCGA-BLCA,2
3675,TCGA-FD-A3SS-01Z-00-DX1,TCGA-BLCA,3
3623,TCGA-BT-A0S7-01Z-00-DX1,TCGA-BLCA,4
3574,TCGA-E7-A85H-01Z-00-DX1,TCGA-BLCA,5
3666,TCGA-4Z-AA7W-01Z-00-DX1,TCGA-BLCA,6
3738,TCGA-K4-A54R-01Z-00-DX1,TCGA-BLCA,7
3427,TCGA-HQ-A2OE-01Z-00-DX1,TCGA-BLCA,8
3448,TCGA-ZF-AA4X-01Z-00-DX1,TCGA-BLCA,9
3677,TCGA-XF-AAMZ-01Z-00-DX1,TCGA-BLCA,0
3576,TCGA-S5-A6DX-01Z-00-DX1,TCGA-BLCA,1
3525,TCGA-FD-A3B5-01Z-00-DX1,TCGA-BLCA,2
3530,TCGA-XF-A8HG-01Z-00-DX1,TCGA-BLCA,3
3388,TCGA-G2-A2EJ-01Z-00-DX8,TCGA-BLCA,4
3698,TCGA-GV-A3QI-01Z-00-DX1,TCGA-BLCA,5
3521,TCGA-UY-A78N-01Z-00-DX1,TCGA-BLCA,6
3431,TCGA-DK-A3X1-01Z-00-DX1,TCGA-BLCA,7
3688,TCGA-2F-A9KP-01Z-00-DX1,TCGA-BLCA,8
3564,TCGA-CU-A0YN-01Z-00-DX1,TCGA-BLCA,9
3658,TCGA-E5-A4U1-01Z-00-DX1,TCGA-BLCA,0
3648,TCGA-BT-A20J-01Z-00-DX1,TCGA-BLCA,1
3701,TCGA-GV-A40E-01Z-00-DX1,TCGA-BLCA,2
3627,TCGA-GU-A767-01Z-00-DX1,TCGA-BLCA,3
3568,TCGA-2F-A9KR-01Z-00-DX1,TCGA-BLCA,4
3613,TCGA-XF-AAMG-01Z-00-DX1,TCGA-BLCA,5
3414,TCGA-CF-A9FH-01Z-00-DX1,TCGA-BLCA,6
3481,TCGA-GV-A3JZ-01Z-00-DX1,TCGA-BLCA,7
3717,TCGA-ZF-AA5P-01Z-00-DX1,TCGA-BLCA,8
3612,TCGA-GU-A42R-01Z-00-DX2,TCGA-BLCA,9
3603,TCGA-HQ-A2OF-01Z-00-DX1,TCGA-BLCA,0
3742,TCGA-XF-AAN8-01Z-00-DX1,TCGA-BLCA,1
3631,TCGA-DK-A3IU-01Z-00-DX1,TCGA-BLCA,2
3535,TCGA-2F-A9KO-01Z-00-DX1,TCGA-BLCA,3
3593,TCGA-GC-A3OO-01Z-00-DX1,TCGA-BLCA,4
3466,TCGA-XF-A9SP-01Z-00-DX1,TCGA-BLCA,5
3438,TCGA-CF-A47Y-01Z-00-DX1,TCGA-BLCA,6
3499,TCGA-FD-A5BU-01Z-00-DX1,TCGA-BLCA,7
3560,TCGA-E7-A7XN-01Z-00-DX1,TCGA-BLCA,8
3534,TCGA-FD-A6TD-01Z-00-DX1,TCGA-BLCA,9
3417,TCGA-CF-A3MI-01Z-00-DX1,TCGA-BLCA,0
3422,TCGA-FD-A6TG-01Z-00-DX1,TCGA-BLCA,1
3714,TCGA-DK-A3IM-01Z-00-DX1,TCGA-BLCA,2
3526,TCGA-XF-AAN3-01Z-00-DX1,TCGA-BLCA,3
3672,TCGA-FD-A5BS-01Z-00-DX1,TCGA-BLCA,4
3739,TCGA-XF-A9SW-01Z-00-DX1,TCGA-BLCA,5
3429,TCGA-4Z-AA7Q-01Z-00-DX1,TCGA-BLCA,6
3587,TCGA-XF-AAMJ-01Z-00-DX1,TCGA-BLCA,7
3681,TCGA-G2-AA3F-01Z-00-DX5,TCGA-BLCA,8
3409,TCGA-XF-AAMQ-01Z-00-DX1,TCGA-BLCA,9
3642,TCGA-FD-A43U-01Z-00-DX1,TCGA-BLCA,0
3599,TCGA-FD-A3SJ-01Z-00-DX1,TCGA-BLCA,1
3435,TCGA-UY-A78P-01Z-00-DX1,TCGA-BLCA,2
3635,TCGA-GC-A3BM-01Z-00-DX1,TCGA-BLCA,3
3346,TCGA-XF-A9SX-01Z-00-DX1,TCGA-BLCA,4
3723,TCGA-DK-A3WW-01Z-00-DX1,TCGA-BLCA,5
3367,TCGA-CF-A3MH-01Z-00-DX1,TCGA-BLCA,6
3585,TCGA-BL-A13J-01Z-00-DX2,TCGA-BLCA,7
3387,TCGA-FD-A3SL-01Z-00-DX1,TCGA-BLCA,8
3544,TCGA-BT-A20R-01Z-00-DX1,TCGA-BLCA,9
3488,TCGA-G2-A2EJ-01Z-00-DX1,TCGA-BLCA,0
3461,TCGA-GU-AATO-01Z-00-DX1,TCGA-BLCA,1
3314,TCGA-4Z-AA7M-01Z-00-DX1,TCGA-BLCA,2
3337,TCGA-FD-A3N5-01Z-00-DX1,TCGA-BLCA,3
3330,TCGA-C4-A0F0-01Z-00-DX1,TCGA-BLCA,4
3472,TCGA-BL-A3JM-01Z-00-DX1,TCGA-BLCA,5
3444,TCGA-G2-AA3B-01Z-00-DX5,TCGA-BLCA,6
3695,TCGA-DK-A3IN-01Z-00-DX1,TCGA-BLCA,7
3730,TCGA-BL-A13I-01Z-00-DX1,TCGA-BLCA,8
3523,TCGA-C4-A0EZ-01Z-00-DX1,TCGA-BLCA,9
3397,TCGA-BT-A0YX-01Z-00-DX1,TCGA-BLCA,0
3353,TCGA-YF-AA3L-01Z-00-DX1,TCGA-BLCA,1
3542,TCGA-ZF-A9R9-01Z-00-DX1,TCGA-BLCA,2
3644,TCGA-FD-A3SN-01Z-00-DX1,TCGA-BLCA,3
3756,TCGA-FD-A43N-01Z-00-DX1,TCGA-BLCA,4
3480,TCGA-FD-A6TB-01Z-00-DX1,TCGA-BLCA,5
3343,TCGA-G2-AA3F-01Z-00-DX6,TCGA-BLCA,6
3659,TCGA-BL-A13I-01Z-00-DX2,TCGA-BLCA,7
3508,TCGA-FD-A3B8-01Z-00-DX1,TCGA-BLCA,8
3584,TCGA-UY-A8OB-01Z-00-DX1,TCGA-BLCA,9
3556,TCGA-C4-A0F7-01Z-00-DX1,TCGA-BLCA,0
3682,TCGA-G2-A2EJ-01Z-00-DX7,TCGA-BLCA,1
3306,TCGA-UY-A78O-01Z-00-DX1,TCGA-BLCA,2
3558,TCGA-XF-A9SG-01Z-00-DX1,TCGA-BLCA,3
3713,TCGA-GV-A3QK-01Z-00-DX1,TCGA-BLCA,4
3402,TCGA-UY-A8OD-01Z-00-DX1,TCGA-BLCA,5
3528,TCGA-XF-A8HE-01Z-00-DX1,TCGA-BLCA,6
3693,TCGA-XF-A9ST-01Z-00-DX1,TCGA-BLCA,7
3515,TCGA-4Z-AA87-01Z-00-DX1,TCGA-BLCA,8
3473,TCGA-XF-A8HD-01Z-00-DX1,TCGA-BLCA,9
3400,TCGA-G2-A3IB-01Z-00-DX1,TCGA-BLCA,0
3594,TCGA-BT-A2LA-01Z-00-DX1,TCGA-BLCA,1
3517,TCGA-DK-A6B6-01Z-00-DX1,TCGA-BLCA,2
3363,TCGA-CU-A0YR-01Z-00-DX1,TCGA-BLCA,3
3349,TCGA-2F-A9KQ-01Z-00-DX1,TCGA-BLCA,4
3334,TCGA-FD-A3B4-01Z-00-DX1,TCGA-BLCA,5
3569,TCGA-G2-A2EJ-01Z-00-DX2,TCGA-BLCA,6
3629,TCGA-DK-A3IS-01Z-00-DX1,TCGA-BLCA,7
3502,TCGA-GV-A3JX-01Z-00-DX1,TCGA-BLCA,8
3711,TCGA-GC-A3I6-01Z-00-DX1,TCGA-BLCA,9
3329,TCGA-G2-A2EL-01Z-00-DX2,TCGA-BLCA,0
3706,TCGA-GU-A763-01Z-00-DX1,TCGA-BLCA,1
3532,TCGA-UY-A9PF-01Z-00-DX1,TCGA-BLCA,2
3562,TCGA-XF-A8HC-01Z-00-DX1,TCGA-BLCA,3
3590,TCGA-FJ-A3ZE-01Z-00-DX1,TCGA-BLCA,4
3464,TCGA-ZF-A9RG-01Z-00-DX1,TCGA-BLCA,5
3691,TCGA-DK-A3WY-01Z-00-DX1,TCGA-BLCA,6
3440,TCGA-2F-A9KP-01Z-00-DX2,TCGA-BLCA,7
3364,TCGA-FD-A3SR-01Z-00-DX1,TCGA-BLCA,8
3437,TCGA-G2-A2EJ-01Z-00-DX5,TCGA-BLCA,9
3430,TCGA-FJ-A3Z7-01Z-00-DX2,TCGA-BLCA,0
3757,TCGA-FD-A5BY-01Z-00-DX1,TCGA-BLCA,1
3310,TCGA-FD-A6TK-01Z-00-DX1,TCGA-BLCA,2
3628,TCGA-ZF-AA52-01Z-00-DX1,TCGA-BLCA,3
3726,TCGA-FD-A3B7-01Z-00-DX1,TCGA-BLCA,4
3366,TCGA-CF-A7I0-01Z-00-DX1,TCGA-BLCA,5
3602,TCGA-FD-A3B6-01Z-00-DX1,TCGA-BLCA,6
3316,TCGA-FD-A43P-01Z-00-DX1,TCGA-BLCA,7
3458,TCGA-CU-A0YO-01Z-00-DX1,TCGA-BLCA,8
3342,TCGA-FD-A6TI-01Z-00-DX1,TCGA-BLCA,9
3722,TCGA-GU-A42Q-01Z-00-DX2,TCGA-BLCA,0
3673,TCGA-MV-A51V-01Z-00-DX1,TCGA-BLCA,1
3518,TCGA-FD-A3SO-01Z-00-DX1,TCGA-BLCA,2
3581,TCGA-BT-A20N-01Z-00-DX1,TCGA-BLCA,3
3699,TCGA-4Z-AA7R-01Z-00-DX1,TCGA-BLCA,4
3639,TCGA-G2-A2EO-01Z-00-DX6,TCGA-BLCA,5
3538,TCGA-GC-A3YS-01Z-00-DX1,TCGA-BLCA,6
